peak,beat_index,class_name,probabilities,qrs_ms,qrs_ge_120,rr_previous_relative,compensatory_ratio
224,0,F,"{'N': 0.10276816785335541, 'S': 0.00013166452117729932, 'V': 0.21183818578720093, 'F': 0.6799352765083313, 'Q': 0.00532668549567461}",152.77777099609375,True,,
498,1,F,"{'N': 0.1861288696527481, 'S': 0.00016914959996938705, 'V': 0.01895848661661148, 'F': 0.794191300868988, 'Q': 0.0005521937855519354}",105.55555725097656,False,1.1784945726394653,1.0
689,2,V,"{'N': 0.005363423842936754, 'S': 5.5009884817991406e-05, 'V': 0.9710883498191833, 'F': 0.02303551882505417, 'Q': 0.0004576840437948704}",177.77777099609375,True,0.6970803141593933,0.8704379796981812
975,3,N,"{'N': 0.5586415529251099, 'S': 0.00021725066471844912, 'V': 0.00550519535318017, 'F': 0.4349736273288727, 'Q': 0.0006624027737416327}",88.88888549804688,False,1.2301075458526611,0.9827957153320312
1146,4,V,"{'N': 0.002966968109831214, 'S': 4.490981518756598e-05, 'V': 0.9839310050010681, 'F': 0.012636863626539707, 'Q': 0.0004202561394777149}",166.6666717529297,True,0.6356877088546753,0.8698884844779968
1443,5,N,"{'N': 0.8617297410964966, 'S': 0.0001809551613405347, 'V': 0.009258226491510868, 'F': 0.12858755886554718, 'Q': 0.00024347880389541388}",83.33333587646484,False,1.291304349899292,1.0065217018127441
1609,6,V,"{'N': 0.0023445463739335537, 'S': 5.18566848768387e-05, 'V': 0.979882001876831, 'F': 0.0170904453843832, 'Q': 0.000631298404186964}",161.11111450195312,True,0.7217391133308411,0.97826087474823
1893,7,F,"{'N': 0.2619645595550537, 'S': 0.00021634752920363098, 'V': 0.014292081817984581, 'F': 0.7227534651756287, 'Q': 0.0007734971586614847}",86.11111450195312,False,1.2321040630340576,1.0043383836746216
2072,8,V,"{'N': 0.04192677140235901, 'S': 0.0003072545805480331, 'V': 0.8454797863960266, 'F': 0.10824839025735855, 'Q': 0.004037728067487478}",147.22222900390625,True,0.7765726447105408,0.9718004465103149
2341,9,N,"{'N': 0.9254285097122192, 'S': 0.00023751570552121848, 'V': 0.012341729365289211, 'F': 0.06187267228960991, 'Q': 0.0001195760487462394}",91.66666412353516,False,1.1670281887054443,0.9392624497413635
2505,10,V,"{'N': 0.0007935871253721416, 'S': 4.518289279076271e-05, 'V': 0.9928760528564453, 'F': 0.005665984004735947, 'Q': 0.0006191467982716858}",155.55555725097656,True,0.7161571979522705,0.9934498071670532
2796,11,F,"{'N': 0.26593416929244995, 'S': 0.00025225887657143176, 'V': 0.0159043800085783, 'F': 0.7172887325286865, 'Q': 0.0006204713135957718}",91.66666412353516,False,1.1570576429367065,0.9602385759353638
2988,12,V,"{'N': 0.0004018503241240978, 'S': 1.8112354155164212e-05, 'V': 0.997225284576416, 'F': 0.0018721838714554906, 'Q': 0.0004825085634365678}",183.3333282470703,True,0.8275862336158752,1.107758641242981
3310,13,F,"{'N': 0.39433926343917847, 'S': 0.00023025328118819743, 'V': 0.010846054181456566, 'F': 0.5904895663261414, 'Q': 0.004094869364053011}",88.88888549804688,False,1.387930989265442,1.0646551847457886
3482,14,V,"{'N': 0.0003166894894093275, 'S': 2.3481243260903284e-05, 'V': 0.9954240918159485, 'F': 0.0035592694766819477, 'Q': 0.0006763781420886517}",163.88888549804688,True,0.7527352571487427,0.9584245085716248
3748,15,N,"{'N': 0.9607818126678467, 'S': 0.0001370814861729741, 'V': 0.000124381942441687, 'F': 0.03867001831531525, 'Q': 0.00028672729968093336}",91.66666412353516,False,1.1416308879852295,1.0793991088867188
3985,16,N,"{'N': 0.9689434170722961, 'S': 8.990741480374709e-05, 'V': 0.00021507794735953212, 'F': 0.03056887350976467, 'Q': 0.00018283672397956252}",91.66666412353516,False,1.017167329788208,0.995708167552948
4212,17,N,"{'N': 0.9868252873420715, 'S': 0.0001247489999514073, 'V': 8.911966142477468e-05, 'F': 0.012881309725344181, 'Q': 7.948601705720648e-05}",91.66666412353516,False,0.9598308801651001,0.9344608783721924
4427,18,N,"{'N': 0.9787675738334656, 'S': 0.00015779062232468277, 'V': 0.00012793089263141155, 'F': 0.020833516493439674, 'Q': 0.00011333184374962002}",94.44444274902344,False,0.9227467775344849,0.954935610294342
4657,19,N,"{'N': 0.984258770942688, 'S': 0.00011783955415012315, 'V': 0.00017277737788390368, 'F': 0.01535557210445404, 'Q': 9.50150060816668e-05}",94.44444274902344,False,0.9871244430541992,1.0
4893,20,N,"{'N': 0.9860223531723022, 'S': 0.000160960407811217, 'V': 0.00012507081555668265, 'F': 0.013566575944423676, 'Q': 0.00012503527977969497}",102.77777862548828,False,1.0128755569458008,1.04935622215271
5146,21,N,"{'N': 0.9854950904846191, 'S': 0.00013012057752348483, 'V': 0.00012030743528157473, 'F': 0.014139065518975258, 'Q': 0.00011540330888237804}",100.0,False,1.107221007347107,1.0919036865234375
5392,22,N,"{'N': 0.9790023565292358, 'S': 0.00012689786672126502, 'V': 0.00012435458484105766, 'F': 0.020652612671256065, 'Q': 9.382757707498968e-05}",91.66666412353516,False,1.0557940006256104,1.008583664894104
5616,23,N,"{'N': 0.9733967781066895, 'S': 0.00021216660388745368, 'V': 0.00010974962788168341, 'F': 0.026192765682935715, 'Q': 8.854099723976105e-05}",91.66666412353516,False,0.9613733887672424,0.9442059993743896
5832,24,N,"{'N': 0.9889670014381409, 'S': 0.00011523204011609778, 'V': 0.00010938933701254427, 'F': 0.010742893442511559, 'Q': 6.552431295858696e-05}",97.22222137451172,False,0.8962655663490295,1.0
