wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
T,3,10,10,0.6345332860946655,predicted,MLII,19.444444444444443,0.008333333333333333,0.027777777777777776,3,10,10,
T,20,24,26,0.6066111326217651,predicted,MLII,16.666666666666668,0.05555555555555555,0.07222222222222222,20,24,26,
T,49,49,89,0.7840644121170044,predicted,MLII,111.11111111111111,0.1361111111111111,0.24722222222222223,49,49,89,
P,158,161,192,0.8542210459709167,predicted,MLII,94.44444444444444,0.4388888888888889,0.5333333333333333,158,161,192,
QRS,200,225,255,0.9366676211357117,predicted,MLII,152.77777777777777,0.5555555555555556,0.7083333333333334,200,225,255,True
T,274,301,374,0.7931259274482727,predicted,MLII,277.77777777777777,0.7611111111111111,1.038888888888889,274,301,374,
P,402,422,442,0.8507965803146362,predicted,MLII,111.11111111111111,1.1166666666666667,1.2277777777777779,402,422,442,
QRS,465,488,503,0.9468563199043274,predicted,MLII,105.55555555555556,1.2916666666666667,1.3972222222222221,465,488,503,False
T,549,549,588,0.9486843943595886,predicted,MLII,108.33333333333333,1.525,1.6333333333333333,549,549,588,
QRS,662,688,726,0.9268808960914612,predicted,MLII,177.77777777777777,1.8388888888888888,2.0166666666666666,662,688,726,True
T,730,760,808,0.9741127490997314,predicted,MLII,216.66666666666666,2.0277777777777777,2.2444444444444445,730,760,808,
P,894,920,926,0.8530203700065613,predicted,MLII,88.88888888888889,2.4833333333333334,2.5722222222222224,894,920,926,
QRS,946,965,978,0.9628660082817078,predicted,MLII,88.88888888888889,2.6277777777777778,2.716666666666667,946,965,978,False
T,1018,1018,1054,0.8332147002220154,predicted,MLII,100.0,2.827777777777778,2.9277777777777776,1018,1018,1054,
QRS,1122,1146,1182,0.9301732182502747,predicted,MLII,166.66666666666666,3.1166666666666667,3.283333333333333,1122,1146,1182,True
T,1191,1218,1267,0.9662609696388245,predicted,MLII,211.11111111111111,3.308333333333333,3.5194444444444444,1191,1218,1267,
P,1356,1374,1387,0.9341462850570679,predicted,MLII,86.11111111111111,3.7666666666666666,3.852777777777778,1356,1374,1387,
QRS,1417,1434,1447,0.9442487359046936,predicted,MLII,83.33333333333333,3.936111111111111,4.019444444444445,1417,1434,1447,False
T,1498,1500,1539,0.8986356854438782,predicted,MLII,113.88888888888889,4.161111111111111,4.275,1498,1500,1539,
QRS,1584,1608,1642,0.9568961262702942,predicted,MLII,161.11111111111111,4.4,4.561111111111111,1584,1608,1642,True
T,1655,1682,1727,0.9689399600028992,predicted,MLII,200.0,4.597222222222222,4.7972222222222225,1655,1682,1727,
P,1806,1817,1830,0.9001803994178772,predicted,MLII,66.66666666666667,5.016666666666667,5.083333333333333,1806,1817,1830,
QRS,1865,1884,1896,0.9472001194953918,predicted,MLII,86.11111111111111,5.180555555555555,5.266666666666667,1865,1884,1896,False
T,1945,1947,1980,0.9157200455665588,predicted,MLII,97.22222222222223,5.402777777777778,5.5,1945,1947,1980,
P,2026,2026,2032,0.6336359977722168,predicted,MLII,16.666666666666668,5.627777777777778,5.644444444444445,2026,2026,2032,
QRS,2049,2072,2102,0.9789760708808899,predicted,MLII,147.22222222222223,5.691666666666666,5.838888888888889,2049,2072,2102,True
