peak,beat_index,class_name,probabilities,qrs_ms,qrs_ge_120,rr_previous_relative,compensatory_ratio
235,0,N,"{'N': 0.99904932485566, 'S': 0.00021787906090674602, 'V': 0.0005058888090336105, 'F': 0.00014916453269012188, 'Q': 7.774274170931876e-05}",76.0,False,,
532,1,N,"{'N': 0.9981021229396354, 'S': 0.0005522488205586151, 'V': 0.0009000305573809976, 'F': 0.0003309066678074332, 'Q': 0.00011469101461738321}",88.0,False,1.0033783912658691,1.0067567825317383
831,2,N,"{'N': 0.9988790574669768, 'S': 0.00016671511422362714, 'V': 0.0006599579381989447, 'F': 0.00023015397737995556, 'Q': 6.411550322059415e-05}",92.0,False,1.0101351737976074,1.0050675868988037
1127,3,N,"{'N': 0.9991183999119511, 'S': 0.00027397704091424634, 'V': 0.0003706774171618307, 'F': 0.0001570883747811096, 'Q': 7.985725519177191e-05}",88.0,False,1.0,1.0
1423,4,N,"{'N': 0.9989211875282873, 'S': 0.00033026134436080147, 'V': 0.0005102183219243646, 'F': 0.0001790794107678157, 'Q': 5.925339465956066e-05}",88.0,False,1.0,1.0
1719,5,N,"{'N': 0.9981807915364511, 'S': 0.0004939214946582197, 'V': 0.0008338899401750119, 'F': 0.00030581238099298735, 'Q': 0.00018558464772264335}",92.0,False,1.0,1.0
2015,6,N,"{'N': 0.9986419692503563, 'S': 0.00022591568814175946, 'V': 0.0006751604440173246, 'F': 0.00029458240684218857, 'Q': 0.00016237221064235453}",96.0,False,1.0,1.0101351737976074
2317,7,N,"{'N': 0.9987575509658531, 'S': 0.0004033945644906649, 'V': 0.0005289127217532489, 'F': 0.0001913351057734509, 'Q': 0.00011880664212960543}",84.0,False,1.0202702283859253,1.0050675868988037
2610,8,N,"{'N': 0.9987535227014486, 'S': 0.00042364049963893936, 'V': 0.0004992595821086573, 'F': 0.00021167620552498285, 'Q': 0.00011190101127882608}",84.0,False,0.9881955981254578,0.994940996170044
2907,9,N,"{'N': 0.9982326648248568, 'S': 0.0004529894100653304, 'V': 0.0009575668687866625, 'F': 0.0002648295910275956, 'Q': 9.194930526377088e-05}",92.0,False,1.0,0.9949495196342468
3201,10,N,"{'N': 0.9989105588986282, 'S': 0.0002105622468910432, 'V': 0.0005596655612135655, 'F': 0.00024315271478866796, 'Q': 7.606057847867677e-05}",84.0,False,0.9882352948188782,0.9966386556625366
3500,11,N,"{'N': 0.998754544109093, 'S': 0.0003171866070744359, 'V': 0.0006146840175839586, 'F': 0.00024919916400227706, 'Q': 6.438610224624545e-05}",88.0,False,1.001675009727478,1.0033501386642456
3800,12,N,"{'N': 0.9986966494132483, 'S': 0.00032588519385615426, 'V': 0.0006580578556218521, 'F': 0.0002486090725156265, 'Q': 7.079846475807956e-05}",88.0,False,1.0050251483917236,1.0
4097,13,N,"{'N': 0.9988925527326742, 'S': 0.00029867981235714406, 'V': 0.0005046207812657109, 'F': 0.00021304099465542942, 'Q': 9.110567904754243e-05}",88.0,False,0.9949748516082764,1.0033501386642456
4399,14,N,"{'N': 0.9987464431908241, 'S': 0.00028012473639127053, 'V': 0.0006670020823512366, 'F': 0.0002386538329031597, 'Q': 6.777615753016451e-05}",88.0,False,1.0083472728729248,1.0016694068908691
4697,15,N,"{'N': 0.9972397747419272, 'S': 0.00026973187428424553, 'V': 0.0016631408278286206, 'F': 0.0006300716251724594, 'Q': 0.00019728093078763345}",104.0,False,0.994991660118103,1.0
4998,16,N,"{'N': 0.9989907970929428, 'S': 0.00018642173873019928, 'V': 0.0005508012466667324, 'F': 0.00021272087275198766, 'Q': 5.925904890838301e-05}",92.0,False,1.005008339881897,1.0083472728729248
5301,17,N,"{'N': 0.999117726391357, 'S': 0.00019970492102239497, 'V': 0.00046509141117457946, 'F': 0.00017332615498574314, 'Q': 4.415112146018355e-05}",88.0,False,1.011686086654663,1.0016694068908691
5598,18,N,"{'N': 0.9988336485887666, 'S': 0.00031017629532903223, 'V': 0.0005168389558209911, 'F': 0.0002460245768578948, 'Q': 9.331158322530563e-05}",88.0,False,0.9883527159690857,0.9933444261550903
5898,19,N,"{'N': 0.9985821606671635, 'S': 0.0003469279394320969, 'V': 0.0006845781721829252, 'F': 0.00031169118145173245, 'Q': 7.464203976966583e-05}",88.0,False,1.0016694068908691,0.9966611266136169
6195,20,N,"{'N': 0.998278606184429, 'S': 0.0004395474129942218, 'V': 0.0008831642673931335, 'F': 0.0002626048477015252, 'Q': 0.00013607728748205074}",88.0,False,0.9900000095367432,0.9933333396911621
6494,21,N,"{'N': 0.9976018341147613, 'S': 0.000526571477422014, 'V': 0.0012647348756418078, 'F': 0.0004926101296007816, 'Q': 0.00011424940257409796}",92.0,False,0.9983305335044861,1.005008339881897
6797,22,N,"{'N': 0.9986836501963122, 'S': 0.0001719263750296412, 'V': 0.0006734492375747532, 'F': 0.0003041859817536385, 'Q': 0.00016678820932979635}",100.0,False,1.0133779048919678,1.0117056369781494
7099,23,N,"{'N': 0.9576360563198439, 'S': 0.001522585358978923, 'V': 0.03418652817803601, 'F': 0.003876050819622654, 'Q': 0.002778779323518411}",144.0,True,1.0083472728729248,1.0016694068908691
