wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
T,6,40,82,0.876179039478302,predicted,I,152.0,0.012,0.164,6,40,82,
P,146,160,182,0.9394993782043457,predicted,I,72.0,0.292,0.364,146,160,182,
QRS,210,240,264,0.8577648401260376,predicted,I,108.0,0.42,0.528,210,240,264,False
T,266,266,278,0.3789842128753662,predicted,I,24.0,0.532,0.556,266,266,278,
T,306,340,384,0.9515363574028015,predicted,I,156.0,0.612,0.768,306,340,384,
P,432,458,474,0.9151033759117126,predicted,I,84.0,0.864,0.948,432,458,474,
QRS,502,536,578,0.9535208344459534,predicted,I,152.0,1.004,1.156,502,536,578,True
T,602,638,684,0.9555956721305847,predicted,I,164.0,1.204,1.368,602,638,684,
P,734,770,770,0.9599847197532654,predicted,I,72.0,1.468,1.54,734,770,770,
QRS,804,836,878,0.9153268933296204,predicted,I,148.0,1.608,1.756,804,836,878,True
T,900,930,980,0.9713124632835388,predicted,I,160.0,1.8,1.96,900,930,980,
P,1032,1052,1068,0.9634851217269897,predicted,I,72.0,2.064,2.136,1032,1052,1068,
QRS,1102,1134,1150,0.894242525100708,predicted,I,96.0,2.204,2.3,1102,1134,1150,False
T,1190,1228,1274,0.9609137177467346,predicted,I,168.0,2.38,2.548,1190,1228,1274,
P,1328,1352,1366,0.9317271113395691,predicted,I,76.0,2.656,2.732,1328,1352,1366,
QRS,1398,1428,1466,0.8501061201095581,predicted,I,136.0,2.796,2.932,1398,1428,1466,True
T,1488,1522,1576,0.9590303301811218,predicted,I,176.0,2.976,3.152,1488,1522,1576,
P,1626,1658,1658,0.9025239944458008,predicted,I,64.0,3.252,3.316,1626,1658,1658,
QRS,1692,1724,1762,0.9212062358856201,predicted,I,140.0,3.384,3.524,1692,1724,1762,True
T,1784,1822,1872,0.9659959673881531,predicted,I,176.0,3.568,3.744,1784,1822,1872,
P,1920,1940,1958,0.9382616281509399,predicted,I,76.0,3.84,3.916,1920,1940,1958,
QRS,1990,2020,2040,0.9209988713264465,predicted,I,100.0,3.98,4.08,1990,2020,2040,False
T,2082,2112,2162,0.9698869585990906,predicted,I,160.0,4.164,4.324,2082,2112,2162,
P,2218,2258,2258,0.9384216070175171,predicted,I,80.0,4.436,4.516,2218,2258,2258,
QRS,2292,2322,2342,0.9042977094650269,predicted,I,100.0,4.584,4.684,2292,2322,2342,False
T,2382,2420,2464,0.9750345945358276,predicted,I,164.0,4.764,4.928,2382,2420,2464,
P,2512,2550,2550,0.952244758605957,predicted,I,76.0,5.024,5.1,2512,2550,2550,
QRS,2584,2616,2654,0.8346912860870361,predicted,I,140.0,5.168,5.308,2584,2616,2654,True
T,2674,2708,2764,0.9403477311134338,predicted,I,180.0,5.348,5.528,2674,2708,2764,
P,2804,2836,2848,0.8905061483383179,predicted,I,88.0,5.608,5.696,2804,2836,2848,
QRS,2880,2912,2944,0.8918159008026123,predicted,I,128.0,5.76,5.888,2880,2912,2944,True
T,2970,3006,3058,0.9619082808494568,predicted,I,176.0,5.94,6.116,2970,3006,3058,
P,3100,3142,3142,0.9075461030006409,predicted,I,84.0,6.2,6.284,3100,3142,3142,
QRS,3176,3206,3244,0.8775527477264404,predicted,I,136.0,6.352,6.488,3176,3206,3244,True
T,3266,3300,3352,0.9601978659629822,predicted,I,172.0,6.532,6.704,3266,3300,3352,
P,3400,3426,3438,0.9520848393440247,predicted,I,76.0,6.8,6.876,3400,3426,3438,
QRS,3472,3506,3542,0.8370171785354614,predicted,I,140.0,6.944,7.084,3472,3506,3542,True
T,3566,3600,3648,0.9685450196266174,predicted,I,164.0,7.132,7.296,3566,3600,3648,
P,3706,3728,3742,0.9352445006370544,predicted,I,72.0,7.412,7.484,3706,3728,3742,
QRS,3774,3806,3844,0.8852751851081848,predicted,I,140.0,7.548,7.688,3774,3806,3844,True
T,3868,3902,3952,0.9644089341163635,predicted,I,168.0,7.736,7.904,3868,3902,3952,
P,4002,4036,4036,0.9429988861083984,predicted,I,68.0,8.004,8.072,4002,4036,4036,
