peak,beat_index,class_name,probabilities,qrs_ms,qrs_ge_120,rr_previous_relative,compensatory_ratio
224,0,V,"{'N': 0.07944073697880044, 'S': 0.003626740411525968, 'V': 0.8828486075478456, 'F': 0.0050790511710793775, 'Q': 0.02900486389074871}",152.77777099609375,True,,
498,1,N,"{'N': 0.9368363855882452, 'S': 0.006009647539576028, 'V': 0.032903462052659115, 'F': 0.02288499635402359, 'Q': 0.0013655084654961144}",105.55555725097656,False,1.1784945726394653,1.0
689,2,V,"{'N': 0.0004956459813874577, 'S': 0.00016895331681874177, 'V': 0.9991363833262924, 'F': 0.00010269249027813815, 'Q': 9.632488522319155e-05}",177.77777099609375,True,0.6970803141593933,0.8704379796981812
975,3,N,"{'N': 0.9250070727519689, 'S': 0.010129775982197407, 'V': 0.02052507567633303, 'F': 0.04293591773917983, 'Q': 0.0014021578503209486}",88.88888549804688,False,1.2301075458526611,0.9827957153320312
1146,4,V,"{'N': 0.0003198613381686997, 'S': 0.00012524788922722784, 'V': 0.9993102537182978, 'F': 0.00019862473141055373, 'Q': 4.601232289550647e-05}",166.6666717529297,True,0.6356877088546753,0.8698884844779968
1443,5,N,"{'N': 0.96772531727173, 'S': 0.006283514969589469, 'V': 0.015039995914675999, 'F': 0.009824637812318996, 'Q': 0.001126534031685712}",83.33333587646484,False,1.291304349899292,1.0065217018127441
1609,6,V,"{'N': 0.0003091356478981671, 'S': 9.201258093692424e-05, 'V': 0.9994563575300036, 'F': 9.608567039919037e-05, 'Q': 4.6408570762158145e-05}",161.11111450195312,True,0.7217391133308411,0.97826087474823
1893,7,N,"{'N': 0.950345732770404, 'S': 0.012840529929782653, 'V': 0.01864084723956434, 'F': 0.0158301590885669, 'Q': 0.0023427309716821357}",86.11111450195312,False,1.2321040630340576,1.0043383836746216
2072,8,V,"{'N': 0.0029433361520420295, 'S': 0.0006245411668982008, 'V': 0.995256387596662, 'F': 0.00041512944552946383, 'Q': 0.0007606056388684518}",147.22222900390625,True,0.7765726447105408,0.9718004465103149
2341,9,N,"{'N': 0.9554244915096074, 'S': 0.01532254158848346, 'V': 0.015643827740109965, 'F': 0.011896859354721276, 'Q': 0.001712279807077996}",91.66666412353516,False,1.1670281887054443,0.9392624497413635
