wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
T,3,10,10,0.6345332264900208,predicted,MLII,19.444444444444443,0.008333333333333333,0.027777777777777776,3,10,10,
T,20,24,26,0.6066113710403442,predicted,MLII,16.666666666666668,0.05555555555555555,0.07222222222222222,20,24,26,
T,49,49,89,0.7840644121170044,predicted,MLII,111.11111111111111,0.1361111111111111,0.24722222222222223,49,49,89,
P,158,161,192,0.8542208671569824,predicted,MLII,94.44444444444444,0.4388888888888889,0.5333333333333333,158,161,192,
QRS,200,225,255,0.936667799949646,predicted,MLII,152.77777777777777,0.5555555555555556,0.7083333333333334,200,225,255,True
T,274,301,374,0.7931260466575623,predicted,MLII,277.77777777777777,0.7611111111111111,1.038888888888889,274,301,374,
P,402,422,442,0.8507965803146362,predicted,MLII,111.11111111111111,1.1166666666666667,1.2277777777777779,402,422,442,
QRS,465,488,503,0.9468563199043274,predicted,MLII,105.55555555555556,1.2916666666666667,1.3972222222222221,465,488,503,False
T,549,549,588,0.9486845135688782,predicted,MLII,108.33333333333333,1.525,1.6333333333333333,549,549,588,
QRS,662,688,726,0.9268808960914612,predicted,MLII,177.77777777777777,1.8388888888888888,2.0166666666666666,662,688,726,True
T,730,760,808,0.9741127490997314,predicted,MLII,216.66666666666666,2.0277777777777777,2.2444444444444445,730,760,808,
P,894,920,926,0.8530203700065613,predicted,MLII,88.88888888888889,2.4833333333333334,2.5722222222222224,894,920,926,
QRS,946,965,978,0.9628660082817078,predicted,MLII,88.88888888888889,2.6277777777777778,2.716666666666667,946,965,978,False
T,1018,1018,1054,0.8332147002220154,predicted,MLII,100.0,2.827777777777778,2.9277777777777776,1018,1018,1054,
QRS,1122,1146,1182,0.9301730990409851,predicted,MLII,166.66666666666666,3.1166666666666667,3.283333333333333,1122,1146,1182,True
T,1191,1218,1267,0.9662610292434692,predicted,MLII,211.11111111111111,3.308333333333333,3.5194444444444444,1191,1218,1267,
P,1356,1374,1387,0.9341462850570679,predicted,MLII,86.11111111111111,3.7666666666666666,3.852777777777778,1356,1374,1387,
QRS,1417,1434,1447,0.9442487359046936,predicted,MLII,83.33333333333333,3.936111111111111,4.019444444444445,1417,1434,1447,False
T,1498,1500,1539,0.8986356854438782,predicted,MLII,113.88888888888889,4.161111111111111,4.275,1498,1500,1539,
QRS,1584,1608,1642,0.9568961262702942,predicted,MLII,161.11111111111111,4.4,4.561111111111111,1584,1608,1642,True
T,1655,1682,1727,0.9689399600028992,predicted,MLII,200.0,4.597222222222222,4.7972222222222225,1655,1682,1727,
P,1806,1817,1830,0.9001805782318115,predicted,MLII,66.66666666666667,5.016666666666667,5.083333333333333,1806,1817,1830,
QRS,1865,1884,1896,0.9472002983093262,predicted,MLII,86.11111111111111,5.180555555555555,5.266666666666667,1865,1884,1896,False
T,1945,1947,1980,0.9157199859619141,predicted,MLII,97.22222222222223,5.402777777777778,5.5,1945,1947,1980,
P,2026,2032,2032,0.6336363554000854,predicted,MLII,16.666666666666668,5.627777777777778,5.644444444444445,2026,2032,2032,
QRS,2049,2072,2102,0.9789760708808899,predicted,MLII,147.22222222222223,5.691666666666666,5.838888888888889,2049,2072,2102,True
T,2114,2138,2183,0.9686093926429749,predicted,MLII,191.66666666666666,5.872222222222222,6.063888888888889,2114,2138,2183,
P,2251,2267,2282,0.9518238306045532,predicted,MLII,86.11111111111111,6.252777777777778,6.338888888888889,2251,2267,2282,
QRS,2313,2333,2346,0.9440434575080872,predicted,MLII,91.66666666666667,6.425,6.516666666666667,2313,2333,2346,False
T,2395,2395,2441,0.8314407467842102,predicted,MLII,127.77777777777777,6.652777777777778,6.780555555555556,2395,2395,2441,
QRS,2481,2506,2537,0.9592384099960327,predicted,MLII,155.55555555555554,6.891666666666667,7.0472222222222225,2481,2506,2537,True
T,2549,2575,2628,0.9135552644729614,predicted,MLII,219.44444444444446,7.080555555555556,7.3,2549,2575,2628,
P,2706,2739,2739,0.9121868014335632,predicted,MLII,91.66666666666667,7.516666666666667,7.608333333333333,2706,2739,2739,
QRS,2766,2785,2799,0.9540671706199646,predicted,MLII,91.66666666666667,7.683333333333334,7.775,2766,2785,2799,False
T,2844,2845,2886,0.9032976627349854,predicted,MLII,116.66666666666667,7.9,8.016666666666667,2844,2845,2886,
QRS,2964,2988,3030,0.820240318775177,predicted,MLII,183.33333333333334,8.233333333333333,8.416666666666666,2964,2988,3030,True
T,3037,3072,3120,0.6535149812698364,predicted,MLII,230.55555555555554,8.436111111111112,8.666666666666666,3037,3072,3120,
QRS,3283,3302,3315,0.8916002511978149,predicted,MLII,88.88888888888889,9.119444444444444,9.208333333333334,3283,3302,3315,False
T,3367,3378,3401,0.8203237652778625,predicted,MLII,94.44444444444444,9.352777777777778,9.447222222222223,3367,3378,3401,
QRS,3459,3482,3518,0.9161784648895264,predicted,MLII,163.88888888888889,9.608333333333333,9.772222222222222,3459,3482,3518,True
T,3532,3557,3600,0.9150505065917969,predicted,MLII,188.88888888888889,9.811111111111112,10.0,3532,3557,3600,
P,3682,3698,3698,0.6504784822463989,predicted,MLII,44.44444444444444,10.227777777777778,10.272222222222222,3682,3698,3698,
QRS,3722,3738,3754,0.9533653855323792,predicted,MLII,88.88888888888889,10.338888888888889,10.427777777777777,3722,3738,3754,False
T,3804,3807,3858,0.9280495643615723,predicted,MLII,150.0,10.566666666666666,10.716666666666667,3804,3807,3858,
P,3902,3918,3936,0.8855687975883484,predicted,MLII,94.44444444444444,10.838888888888889,10.933333333333334,3902,3918,3936,
QRS,3959,3976,3990,0.9606021642684937,predicted,MLII,86.11111111111111,10.997222222222222,11.083333333333334,3959,3976,3990,False
T,4023,4062,4097,0.9645862579345703,predicted,MLII,205.55555555555554,11.175,11.380555555555556,4023,4062,4097,
P,4141,4167,4169,0.8689975738525391,predicted,MLII,77.77777777777777,11.502777777777778,11.580555555555556,4141,4167,4169,
QRS,4183,4202,4215,0.9675956964492798,predicted,MLII,88.88888888888889,11.619444444444444,11.708333333333334,4183,4202,4215,False
T,4255,4283,4311,0.9523927569389343,predicted,MLII,155.55555555555554,11.819444444444445,11.975,4255,4283,4311,
P,4360,4360,4382,0.6154569387435913,predicted,MLII,61.111111111111114,12.11111111111111,12.172222222222222,4360,4360,4382,
QRS,4399,4416,4432,0.9579693675041199,predicted,MLII,91.66666666666667,12.219444444444445,12.311111111111112,4399,4416,4432,False
T,4471,4510,4546,0.9557403922080994,predicted,MLII,208.33333333333334,12.419444444444444,12.627777777777778,4471,4510,4546,
P,4573,4579,4588,0.6355515718460083,predicted,MLII,41.666666666666664,12.702777777777778,12.744444444444444,4573,4579,4588,
QRS,4627,4647,4661,0.9578827619552612,predicted,MLII,94.44444444444444,12.852777777777778,12.947222222222223,4627,4647,4661,False
T,4709,4742,4778,0.9427413940429688,predicted,MLII,191.66666666666666,13.080555555555556,13.272222222222222,4709,4742,4778,
P,4812,4831,4831,0.6114144325256348,predicted,MLII,52.77777777777778,13.366666666666667,13.419444444444444,4812,4831,4831,
QRS,4860,4882,4896,0.9590486884117126,predicted,MLII,100.0,13.5,13.6,4860,4882,4896,False
T,4944,4978,5014,0.9635323286056519,predicted,MLII,194.44444444444446,13.733333333333333,13.927777777777777,4944,4978,5014,
QRS,5116,5135,5151,0.9497212767601013,predicted,MLII,97.22222222222223,14.21111111111111,14.308333333333334,5116,5135,5151,False
T,5198,5237,5268,0.9091781973838806,predicted,MLII,194.44444444444446,14.438888888888888,14.633333333333333,5198,5237,5268,
QRS,5363,5383,5396,0.961401641368866,predicted,MLII,91.66666666666667,14.897222222222222,14.988888888888889,5363,5383,5396,False
T,5439,5468,5501,0.9498295187950134,predicted,MLII,172.22222222222223,15.108333333333333,15.280555555555555,5439,5468,5501,
QRS,5589,5606,5620,0.9530954957008362,predicted,MLII,86.11111111111111,15.525,15.61111111111111,5589,5606,5620,False
T,5665,5689,5720,0.9516891837120056,predicted,MLII,152.77777777777777,15.73611111111111,15.88888888888889,5665,5689,5720,
P,5746,5746,5776,0.6972801685333252,predicted,MLII,83.33333333333333,15.96111111111111,16.044444444444444,5746,5746,5776,
QRS,5805,5822,5838,0.8068490028381348,predicted,MLII,91.66666666666667,16.125,16.216666666666665,5805,5822,5838,False
T,5875,5911,5946,0.5466731786727905,predicted,MLII,197.22222222222223,16.319444444444443,16.516666666666666,5875,5911,5946,
P,5999,5999,6035,0.8633296489715576,predicted,MLII,100.0,16.663888888888888,16.76388888888889,5999,5999,6035,
QRS,6068,6088,6103,0.9383305311203003,predicted,MLII,97.22222222222223,16.855555555555554,16.95277777777778,6068,6088,6103,False
T,6140,6178,6201,0.9695245623588562,predicted,MLII,169.44444444444446,17.055555555555557,17.225,6140,6178,6201,
QRS,6261,6284,6320,0.9240865111351013,predicted,MLII,163.88888888888889,17.391666666666666,17.555555555555557,6261,6284,6320,True
T,6327,6360,6405,0.949946939945221,predicted,MLII,216.66666666666666,17.575,17.791666666666668,6327,6360,6405,
QRS,6530,6549,6561,0.9448875188827515,predicted,MLII,86.11111111111111,18.13888888888889,18.225,6530,6549,6561,False
T,6605,6610,6646,0.8984327912330627,predicted,MLII,113.88888888888889,18.34722222222222,18.461111111111112,6605,6610,6646,
QRS,6697,6718,6751,0.9606803059577942,predicted,MLII,150.0,18.602777777777778,18.752777777777776,6697,6718,6751,True
T,6761,6788,6836,0.9705002307891846,predicted,MLII,208.33333333333334,18.780555555555555,18.988888888888887,6761,6788,6836,
QRS,7060,7078,7095,0.9345893859863281,predicted,MLII,97.22222222222223,19.61111111111111,19.708333333333332,7060,7078,7095,False
T,7152,7152,7210,0.8560459017753601,predicted,MLII,161.11111111111111,19.866666666666667,20.02777777777778,7152,7152,7210,
QRS,7236,7259,7291,0.9453842043876648,predicted,MLII,152.77777777777777,20.1,20.252777777777776,7236,7259,7291,True
T,7301,7337,7383,0.9579023122787476,predicted,MLII,227.77777777777777,20.280555555555555,20.508333333333333,7301,7337,7383,
QRS,7417,7456,7476,0.9569383263587952,predicted,MLII,163.88888888888889,20.602777777777778,20.766666666666666,7417,7456,7476,True
T,7500,7518,7524,0.6859791278839111,predicted,MLII,66.66666666666667,20.833333333333332,20.9,7500,7518,7524,
T,7543,7543,7569,0.8423252105712891,predicted,MLII,72.22222222222223,20.95277777777778,21.025,7543,7543,7569,
P,7815,7825,7860,0.6855108737945557,predicted,MLII,125.0,21.708333333333332,21.833333333333332,7815,7825,7860,
QRS,7881,7900,7914,0.9533219337463379,predicted,MLII,91.66666666666667,21.891666666666666,21.983333333333334,7881,7900,7914,False
T,7953,7998,8021,0.901132345199585,predicted,MLII,188.88888888888889,22.091666666666665,22.280555555555555,7953,7998,8021,
