wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
P,41,54,67,0.8313164710998535,predicted,D3,104.0,600.164,600.268,150041,150054,150067,
QRS,80,92,98,0.923591136932373,predicted,D3,72.0,600.32,600.392,150080,150092,150098,False
T,131,139,273,0.6393117904663086,predicted,D3,568.0,600.524,601.092,150131,150139,150273,
P,294,311,324,0.9210543036460876,predicted,D3,120.0,601.176,601.296,150294,150311,150324,
QRS,334,349,358,0.9413130879402161,predicted,D3,96.0,601.336,601.432,150334,150349,150358,False
T,406,406,445,0.9579635858535767,predicted,D3,156.0,601.624,601.78,150406,150406,150445,
P,561,574,589,0.9475992321968079,predicted,D3,112.0,602.244,602.356,150561,150574,150589,
QRS,601,614,622,0.9482614994049072,predicted,D3,84.0,602.404,602.488,150601,150614,150622,False
T,671,671,711,0.9459782838821411,predicted,D3,160.0,602.684,602.844,150671,150671,150711,
P,830,843,856,0.95002681016922,predicted,D3,104.0,603.32,603.424,150830,150843,150856,
QRS,869,883,891,0.9404858350753784,predicted,D3,88.0,603.476,603.564,150869,150883,150891,False
T,938,938,977,0.9507009387016296,predicted,D3,156.0,603.752,603.908,150938,150938,150977,
P,1098,1111,1124,0.9580869078636169,predicted,D3,104.0,604.392,604.496,151098,151111,151124,
QRS,1138,1150,1159,0.9571705460548401,predicted,D3,84.0,604.552,604.636,151138,151150,151159,False
T,1208,1208,1247,0.940865159034729,predicted,D3,156.0,604.832,604.988,151208,151208,151247,
P,1355,1368,1381,0.9479731321334839,predicted,D3,104.0,605.42,605.524,151355,151368,151381,
QRS,1394,1407,1415,0.9566479325294495,predicted,D3,84.0,605.576,605.66,151394,151407,151415,False
T,1463,1463,1505,0.933009147644043,predicted,D3,168.0,605.852,606.02,151463,151463,151505,
P,1619,1633,1646,0.9179787039756775,predicted,D3,108.0,606.476,606.584,151619,151633,151646,
QRS,1659,1671,1679,0.9573954343795776,predicted,D3,80.0,606.636,606.716,151659,151671,151679,False
T,1728,1728,1767,0.9286140203475952,predicted,D3,156.0,606.912,607.068,151728,151728,151767,
P,1885,1897,1911,0.941257119178772,predicted,D3,104.0,607.54,607.644,151885,151897,151911,
QRS,1924,1936,1944,0.9558202028274536,predicted,D3,80.0,607.696,607.776,151924,151936,151944,False
T,1994,1994,2035,0.9438467621803284,predicted,D3,164.0,607.976,608.14,151994,151994,152035,
P,2154,2168,2181,0.9387865662574768,predicted,D3,108.0,608.616,608.724,152154,152168,152181,
QRS,2194,2207,2216,0.9475407004356384,predicted,D3,88.0,608.776,608.864,152194,152207,152216,False
T,2244,2248,2332,0.8257173895835876,predicted,D3,352.0,608.976,609.328,152244,152248,152332,
P,2333,2335,2342,0.3272866904735565,predicted,D3,36.0,609.332,609.368,152333,152335,152342,
P,2419,2433,2446,0.9222977757453918,predicted,D3,108.0,609.676,609.784,152419,152433,152446,
QRS,2459,2471,2480,0.9437501430511475,predicted,D3,84.0,609.836,609.92,152459,152471,152480,False
P,40,53,65,0.9102177023887634,predicted,D4,100.0,600.16,600.26,150040,150053,150065,
QRS,79,88,98,0.9040228724479675,predicted,D4,76.0,600.316,600.392,150079,150088,150098,False
T,124,141,274,0.6198381781578064,predicted,D4,600.0,600.496,601.096,150124,150141,150274,
P,292,310,322,0.9149592518806458,predicted,D4,120.0,601.168,601.288,150292,150310,150322,
QRS,333,345,357,0.9374063014984131,predicted,D4,96.0,601.332,601.428,150333,150345,150357,False
T,399,399,444,0.9116542935371399,predicted,D4,180.0,601.596,601.776,150399,150399,150444,
P,558,573,586,0.9406241774559021,predicted,D4,112.0,602.232,602.344,150558,150573,150586,
QRS,599,610,621,0.9389934539794922,predicted,D4,88.0,602.396,602.484,150599,150610,150621,False
T,662,663,703,0.8991174101829529,predicted,D4,164.0,602.648,602.812,150662,150663,150703,
P,828,843,854,0.9641441702842712,predicted,D4,104.0,603.312,603.416,150828,150843,150854,
QRS,868,879,890,0.9511862993240356,predicted,D4,88.0,603.472,603.56,150868,150879,150890,False
T,910,931,966,0.9099706411361694,predicted,D4,224.0,603.64,603.864,150910,150931,150966,
P,1095,1110,1122,0.935644805431366,predicted,D4,108.0,604.38,604.488,151095,151110,151122,
QRS,1136,1146,1157,0.9593489170074463,predicted,D4,84.0,604.544,604.628,151136,151146,151157,False
T,1184,1196,1232,0.895452618598938,predicted,D4,192.0,604.736,604.928,151184,151196,151232,
P,1353,1366,1378,0.9403772950172424,predicted,D4,100.0,605.412,605.512,151353,151366,151378,
QRS,1392,1402,1414,0.9368643760681152,predicted,D4,88.0,605.568,605.656,151392,151402,151414,False
T,1444,1456,1491,0.892224133014679,predicted,D4,188.0,605.776,605.964,151444,151456,151491,
P,1617,1631,1643,0.9433243274688721,predicted,D4,104.0,606.468,606.572,151617,151631,151643,
QRS,1657,1667,1678,0.944020688533783,predicted,D4,84.0,606.628,606.712,151657,151667,151678,False
T,1701,1718,1756,0.8892412185668945,predicted,D4,220.0,606.804,607.024,151701,151718,151756,
P,1881,1896,1907,0.9403525590896606,predicted,D4,104.0,607.524,607.628,151881,151896,151907,
QRS,1921,1932,1943,0.9419153332710266,predicted,D4,88.0,607.684,607.772,151921,151932,151943,False
T,1966,1988,2021,0.9310789704322815,predicted,D4,220.0,607.864,608.084,151966,151988,152021,
P,2152,2166,2178,0.9424156546592712,predicted,D4,104.0,608.608,608.712,152152,152166,152178,
QRS,2192,2203,2215,0.9286580085754395,predicted,D4,92.0,608.768,608.86,152192,152203,152215,False
T,2245,2260,2336,0.8044893145561218,predicted,D4,364.0,608.98,609.344,152245,152260,152336,
P,2418,2431,2442,0.9386983513832092,predicted,D4,96.0,609.672,609.768,152418,152431,152442,
QRS,2457,2467,2478,0.9499642848968506,predicted,D4,84.0,609.828,609.912,152457,152467,152478,False
