wave,onset,peak,offset,lead,source
P,292.0,308,321,shared_two_lead_reference,annotation
QRS,335.0,348,358,shared_two_lead_reference,annotation
T,,396,447,shared_two_lead_reference,annotation
P,561.0,571,583,shared_two_lead_reference,annotation
QRS,598.0,612,621,shared_two_lead_reference,annotation
T,,663,719,shared_two_lead_reference,annotation
P,829.0,842,853,shared_two_lead_reference,annotation
QRS,866.0,881,888,shared_two_lead_reference,annotation
T,,931,974,shared_two_lead_reference,annotation
P,1097.0,1110,1121,shared_two_lead_reference,annotation
QRS,1135.0,1148,1158,shared_two_lead_reference,annotation
T,,1200,1238,shared_two_lead_reference,annotation
P,1350.0,1365,1377,shared_two_lead_reference,annotation
QRS,1393.0,1405,1414,shared_two_lead_reference,annotation
T,,1458,1500,shared_two_lead_reference,annotation
P,1619.0,1631,1642,shared_two_lead_reference,annotation
QRS,1655.0,1670,1677,shared_two_lead_reference,annotation
T,,1717,1766,shared_two_lead_reference,annotation
P,1880.0,1894,1908,shared_two_lead_reference,annotation
QRS,1923.0,1935,1942,shared_two_lead_reference,annotation
T,,1988,2028,shared_two_lead_reference,annotation
P,2148.0,2166,2180,shared_two_lead_reference,annotation
QRS,2192.0,2205,2213,shared_two_lead_reference,annotation
T,,2256,2303,shared_two_lead_reference,annotation
P,2417.0,2431,2443,shared_two_lead_reference,annotation
QRS,2457.0,2469,2478,shared_two_lead_reference,annotation
