wave,onset,peak,offset,lead,source
QRS,641,664,690,I,annotation
T,773,840,887,I,annotation
P,1252,1282,1301,I,annotation
QRS,1324,1344,1374,I,annotation
T,1457,1519,1567,I,annotation
P,1911,1938,1961,I,annotation
QRS,1980,2002,2028,I,annotation
T,2118,2176,2219,I,annotation
P,2538,2581,2604,I,annotation
QRS,2624,2645,2670,I,annotation
T,2758,2820,2864,I,annotation
P,3224,3252,3278,I,annotation
QRS,3297,3316,3340,I,annotation
T,3434,3491,3534,I,annotation
P,3882,3908,3937,I,annotation
QRS,3953,3971,3996,I,annotation
QRS,644,662,682,II,annotation
T,776,843,878,II,annotation
P,1250,1278,1302,II,annotation
QRS,1324,1342,1374,II,annotation
T,1458,1524,1572,II,annotation
P,1911,1935,1955,II,annotation
QRS,1979,2000,2028,II,annotation
T,2120,2176,2224,II,annotation
P,2546,2578,2599,II,annotation
QRS,2624,2642,2668,II,annotation
T,2765,2824,2871,II,annotation
P,3223,3247,3270,II,annotation
QRS,3286,3314,3347,II,annotation
T,3434,3491,3539,II,annotation
P,3879,3903,3926,II,annotation
QRS,3950,3969,3996,II,annotation
QRS,633,666,682,III,annotation
T,782,834,867,III,annotation
P,1271,1288,1309,III,annotation
QRS,1323,1335,1362,III,annotation
T,1460,1517,1550,III,annotation
P,1927,1946,1963,III,annotation
QRS,1980,1993,2019,III,annotation
T,2128,2176,2213,III,annotation
P,2570,2589,2616,III,annotation
QRS,2629,2637,2662,III,annotation
T,2756,2819,2857,III,annotation
P,3241,3260,3277,III,annotation
QRS,3299,3307,3333,III,annotation
T,3434,3490,3526,III,annotation
P,3900,3914,3931,III,annotation
QRS,3949,3962,3985,III,annotation
QRS,642,650,689,aVR,annotation
T,775,841,876,aVR,annotation
P,1251,1280,1304,aVR,annotation
QRS,1319,1329,1362,aVR,annotation
T,1456,1521,1567,aVR,annotation
P,1911,1936,1960,aVR,annotation
QRS,1979,1989,2029,aVR,annotation
T,2119,2176,2218,aVR,annotation
P,2554,2579,2601,aVR,annotation
QRS,2620,2627,2673,aVR,annotation
T,2756,2821,2864,aVR,annotation
P,3222,3249,3278,aVR,annotation
QRS,3295,3299,3331,aVR,annotation
T,3428,3491,3537,aVR,annotation
P,3879,3905,3930,aVR,annotation
QRS,3948,3955,4002,aVR,annotation
QRS,646,665,681,aVL,annotation
T,783,838,880,aVL,annotation
