wave,onset,peak,offset,confidence,source,lead,duration_ms,onset_s,offset_s,onset_abs,peak_abs,offset_abs,qrs_ge_120
QRS,2,12,42,0.70817631483078,predicted,I,80.0,0.004,0.084,2,12,42,False
T,108,186,240,0.8805971145629883,predicted,I,264.0,0.216,0.48,108,186,240,
T,330,452,460,0.8013448715209961,predicted,I,260.0,0.66,0.92,330,452,460,
P,568,604,626,0.9445096254348755,predicted,I,116.0,1.136,1.252,568,604,626,
QRS,642,666,682,0.9649909138679504,predicted,I,80.0,1.284,1.364,642,666,682,False
T,778,842,880,0.9779905080795288,predicted,I,204.0,1.556,1.76,778,842,880,
P,1252,1284,1304,0.9640030860900879,predicted,I,104.0,2.504,2.608,1252,1284,1304,
QRS,1324,1346,1362,0.9443892240524292,predicted,I,76.0,2.648,2.724,1324,1346,1362,False
T,1458,1520,1566,0.9809821248054504,predicted,I,216.0,2.916,3.132,1458,1520,1566,
P,1910,1940,1960,0.9576638340950012,predicted,I,100.0,3.82,3.92,1910,1940,1960,
QRS,1982,2002,2020,0.9487717747688293,predicted,I,76.0,3.964,4.04,1982,2002,2020,False
T,2114,2178,2216,0.9713472723960876,predicted,I,204.0,4.228,4.432,2114,2178,2216,
P,2558,2582,2602,0.965359628200531,predicted,I,88.0,5.116,5.204,2558,2582,2602,
QRS,2624,2646,2662,0.9425796270370483,predicted,I,76.0,5.248,5.324,2624,2646,2662,False
T,2758,2822,2864,0.9769473671913147,predicted,I,212.0,5.516,5.728,2758,2822,2864,
P,3224,3254,3276,0.9585319757461548,predicted,I,104.0,6.448,6.552,3224,3254,3276,
QRS,3294,3316,3334,0.9529169201850891,predicted,I,80.0,6.588,6.668,3294,3316,3334,False
T,3432,3492,3536,0.9820486903190613,predicted,I,208.0,6.864,7.072,3432,3492,3536,
P,3878,3910,3932,0.9565144181251526,predicted,I,108.0,7.756,7.864,3878,3910,3932,
QRS,3950,3972,3990,0.942721426486969,predicted,I,80.0,7.9,7.98,3950,3972,3990,False
T,4080,4146,4190,0.9683087468147278,predicted,I,220.0,8.16,8.38,4080,4146,4190,
